Major,Early Career Pay,Mid-Career Pay,Meaningfulness0,Petroleum Engineering,"$93,200","$187,300",67%
Computer Networking Systems,"$55,600","$94,400",49%
Biomedical Sciences,"$43,600","$94,300",70%
Philosophy,"$52,600","$94,300",41%
Sales & Marketing,"$52,700","$94,300",48%
Manufacturing Engineering Technology,"$66,000","$94,300",49%
Environmental Health & Safety,"$57,600","$94,200",68%
Organizational Psychology,"$51,200","$94,100",50%
Industrial Psychology,"$50,000","$94,000",50%
Political Science,"$50,700","$94,000",47%
Real Estate Development,"$57,100","$94,000",-
Social Ecology,"$49,000","$93,700",-
Risk Management & Insurance,"$59,500","$93,600",46%
Radiation Therapy,"$68,400","$93,400",90%
French Literature,"$46,400","$93,300",50%
Occupational Therapy (OT),"$54,100","$93,300",88%
Advertising,"$47,200","$93,200",32%
Accounting,"$54,800","$93,100",42%
Geology,"$50,400","$93,000",54%
Strategic Communication,"$47,100","$93,000",42%
Transportation & Logistics Management,"$57,600","$93,000",48%
Financial Accounting,"$56,100","$92,900",51%
Cell & Molecular Biology,"$51,900","$92,800",68%
Industrial Safety,"$55,200","$92,800",78%
Insurance,"$56,000","$92,800",43%
Manufacturing Management,"$64,000","$92,800",49%
Networks & Telecommunications,"$54,300","$92,800",56%
Labor Studies,"$46,600","$92,600",49%
Digital Media Design,"$46,700","$92,600",31%
Advertising & Marketing Communications,"$48,300","$92,600",36%
Cinema Studies,"$47,900","$92,500",33%
Electronic & Computer Technology,"$63,800","$92,500",58%
Marketing Communication,"$45,700","$92,500",39%
Construction Technology,"$59,100","$92,400",-
Architecture,"$51,000","$92,300",53%
Applied Statistics,"$65,900","$92,200",47%
Biological Sciences,"$49,300","$92,100",66%
Food Science,"$52,500","$92,100",51%
Urban & Regional Planning,"$51,800","$92,100",60%
Marketing Management,"$51,300","$92,000",42%
Computer & Network Administration,"$56,800","$91,900",47%
Applied Computer Science,"$66,100","$91,800",44%
Sales,"$61,500","$91,600",44%
Environmental Design,"$47,700","$91,400",55%
Hotel Management,"$49,100","$91,400",44%
Advertising Design,"$52,700","$91,300",28%
Digital Arts,"$45,600","$91,300",35%
Financial Management,"$54,300","$91,300",54%
Electronic Systems Technology (EST),"$81,000","$91,200",-
Italian Language,"$51,400","$91,100",43%
German Studies,"$50,000","$91,000",42%
Quality Management,"$57,400","$90,800",60%
Microbiology,"$48,400","$90,300",68%
Entrepreneurship,"$54,800","$90,300",47%
Interactive Media,"$52,700","$90,200",35%
Global Business Management,"$55,900","$90,200",52%
Network Systems Administration,"$57,900","$90,200",50%
Police Science,"$55,400","$90,200",-
Hydrology,"$48,700","$90,100",-
Business Data Analysis,"$64,700","$90,000",36%
Database Management,"$65,900","$90,000",-
Spanish Literature,"$51,100","$90,000",50%
Business Technology,"$52,800","$89,900",42%
Business Management & Marketing,"$48,900","$89,800",48%
Technical Management,"$64,400","$89,700",62%
Human Biology,"$51,100","$89,600",70%
Meteorology,"$46,200","$89,500",57%
Computer Graphics Technology (CGT),"$49,000","$89,200",40%
Urban Planning,"$50,500","$89,200",53%
Aviation Technology,"$58,100","$89,100",49%
Environmental Health,"$50,000","$89,100",65%
Agricultural Science,"$48,900","$88,900",59%
Agronomy,"$50,200","$88,900",65%
International Studies,"$50,000","$88,900",51%
Design,"$52,800","$88,800",40%
Applied Science,"$46,400","$88,700",-
Architectural Engineering Technology,"$52,200","$88,700",59%
German Language,"$50,700","$88,700",41%
Technology,"$56,200","$88,600",64%
Advertising & Promotion,"$46,100","$88,500",46%
Pre-law,"$46,800","$88,400",45%
Digital Media,"$47,300","$88,200",38%
Biological Anthropology,"$46,200","$88,100",49%
Personal Financial Planning,"$53,800","$88,100",60%
Professional Pilot Education,"$63,700","$88,000",-
Textile Technology,"$54,000","$88,000",42%
Web & Digital Media Development,"$52,300","$88,000",33%
Entrepreneurial Studies,"$48,700","$87,900",37%
Fashion Design,"$47,500","$87,700",27%
Retailing,"$51,300","$87,600",35%
Business Communication,"$50,900","$87,300",47%
Environmental Science,"$49,100","$87,300",59%
Product Design Engineering,"$65,500","$87,200",35%
English Literature,"$47,700","$87,000",45%
Logistics,"$57,600","$87,000",41%
Math & Science,"$55,600","$86,900",66%
International Trade & Business,"$54,800","$86,800",27%
Pre-Medicine,"$50,800","$86,800",67%
Speech & Drama,"$37,500","$86,800",-
Toxicology,"$44,600","$86,800",-
Advertising & Marketing,"$49,000","$86,700",38%
Geographic Information Systems (GIS) & Spatial Analysis,"$54,000","$86,700",57%
Marketing & Mass Communications,"$45,400","$86,700",41%
Welding Technology,"$48,400","$86,700",-
General Business,"$50,200","$86,600",51%
Construction Engineering Technology,"$55,800","$86,400",53%
Architectural Studies,"$45,400","$86,400",42%
Aviation Maintenance Technology,"$51,000","$86,300",60%
Communication Studies & Journalism,"$44,800","$86,200",47%
Management,"$51,600","$86,200",48%
General Science,"$49,100","$86,100",60%
Magazine Journalism,"$46,800","$86,100",32%
Electronics & Computer Technology,"$55,600","$86,000",-
Theatre & Drama Studies,"$44,800","$86,000",49%
Animation,"$45,000","$85,900",35%
Biology & Chemistry,"$49,200","$85,900",66%
Diagnostic Medical Ultrasound,"$67,700","$85,900",67%
History & Politics,"$49,500","$85,900",51%
Public Affairs,"$52,700","$85,900",50%
Romance Languages,"$53,000","$85,900",53%
Physiology,"$49,300","$85,900",63%
Corporate Communications,"$48,500","$85,700",42%
International Affairs,"$51,600","$85,700",52%
Nursing Science,"$66,800","$85,700",84%
Organizational Development,"$53,800","$85,700",54%
Textile & Apparel Studies,"$47,100","$85,700",30%
Business Administration,"$52,800","$85,600",50%
Business Administration & Accounting,"$52,400","$85,600",55%
Philosophy & Religion,"$43,800","$85,600",55%
Architectural Design,"$47,700","$85,400",60%
Textile Design,"$50,000","$85,200",43%
Interpersonal & Organizational Communication,"$42,400","$85,200",56%
Geographic Information Systems (GIS),"$50,000","$85,100",52%
Business Management,"$51,700","$85,000",51%
Linguistics,"$52,100","$84,900",43%
French Language,"$49,600","$84,800",47%
Communication,"$48,000","$84,700",45%
Neuroscience,"$51,800","$84,700",58%
Business Management & Human Resources Management (HRM),"$46,800","$84,600",57%
Journalism & Mass Communication,"$46,300","$84,600",44%
Accounting & Management,"$55,500","$84,500",52%
Sociology & Organizational Studies,"$53,500","$84,300",57%
Crop Science,"$48,700","$84,200",60%
French Studies,"$52,400","$84,200",57%
Writing,"$44,200","$84,200",42%
Nursing,"$65,000","$84,200",83%
History,"$47,800","$84,100",46%
Biology,"$47,100","$84,000",65%
Land Surveying,"$51,900","$84,000",54%
Architectural Technology,"$46,700","$83,900",61%
Health Care,"$44,400","$83,900",74%
Integrated Marketing Communications,"$47,000","$83,900",36%
Agriculture,"$47,700","$83,800",61%
Digital Design,"$50,000","$83,600",40%
Marketing & Advertising,"$49,300","$83,600",44%
Organizational Communication,"$46,400","$83,600",49%
Visual Effects & Motion Graphics,"$48,100","$83,400",38%
Public Relations & Communication,"$45,700","$83,300",47%
General & Strategic Management,"$51,200","$83,300",55%
Foreign Languages,"$48,400","$83,100",52%
Retail Merchandising,"$50,900","$83,100",31%
Agribusiness Management,"$47,700","$83,000",46%
Global Business,"$55,800","$83,000",31%
Professional & Technical Writing,"$48,500","$83,000",44%
Computer Art,"$40,400","$82,900",31%
Environmental Management,"$50,200","$82,900",62%
Environmental Studies,"$48,500","$82,900",59%
Journalism,"$45,900","$82,900",44%
Travel Industry Management,"$52,600","$82,900",-
International Development Studies,"$47,700","$82,800",64%
Natural Sciences,"$45,100","$82,800",55%
Retail & Consumer Science,"$51,800","$82,800",32%
Literature,"$46,800","$82,800",47%
Bachelor in Science Nursing,"$64,000","$82,700",81%
History & Political Science,"$50,600","$82,700",50%
Museum Studies,"$38,900","$82,700",50%
Computer Information Management,"$49,400","$82,600",-
Dental Hygiene,"$72,700","$82,600",80%
Law,"$54,300","$82,600",53%
Network Technology,"$59,800","$82,600",57%
Media Studies,"$50,700","$82,400",38%
Environmental Geography,"$50,200","$82,300",52%
Law Enforcement,"$46,700","$82,200",60%
Nuclear Medicine,"$60,300","$81,900",81%
Bachelor of Science in Nursing,"$63,800","$81,900",83%
Computer Animation,"$46,800","$81,800",36%
Landscape Architecture,"$51,500","$81,800",65%
Publishing,"$46,300","$81,800",39%
Interior Architecture,"$47,600","$81,500",45%
Diagnostic Medical Sonography,"$64,300","$81,400",86%
Environmental & Natural Resource Economics,"$52,400","$81,400",65%
Public Relations (PR),"$45,600","$81,400",42%
Workforce Education & Development,"$59,900","$81,400",80%
American History (United States),"$50,900","$81,300",52%
Drama,"$47,400","$81,100",47%
Management (MGT),"$47,000","$81,000",62%
Merchandising Management,"$46,800","$80,900",38%
Environmental Biology,"$45,000","$80,800",70%
Accounting & Business,"$52,400","$80,700",48%
Automotive Technology & Service Management,"$48,800","$80,500",32%
Speech Communication,"$46,700","$80,500",54%
Allied Health,"$44,800","$80,400",78%
Agricultural Systems Technology,"$60,500","$80,300",-
Emergency Management,"$50,900","$80,300",80%
Network Administration,"$48,700","$80,300",56%
Communication Management,"$46,000","$80,200",38%
Historic Preservation,"$43,400","$80,000",-
Broadcast Journalism,"$42,900","$79,900",50%
Broadcast & Cinematic Arts,"$42,800","$79,900",43%
Automotive Technology,"$48,100","$79,800",47%
Business Management & Administration,"$51,400","$79,800",53%
Agricultural Business,"$52,700","$79,700",51%
Technology Management,"$56,400","$79,700",47%
Global Studies,"$51,200","$79,600",46%
Professional Studies,"$42,800","$79,600",62%
Interpersonal Communications,"$45,000","$79,500",53%
Forestry,"$45,900","$79,400",67%
Homeland Security,"$49,200","$79,400",72%
Ancient History,"$46,000","$79,300",-
Botany,"$42,600","$79,300",73%
Geography,"$49,700","$79,300",52%
Computer Aided Design (CAD),"$48,700","$79,200",-
Nutrition Science,"$49,500","$79,200",70%
Acting,"$44,200","$79,100",50%
Public Management,"$50,200","$79,100",66%
Nuclear Medicine Technology,"$61,700","$79,000",82%
Apparel & Textile Manufacture,"$48,300","$78,900",37%
English Language & Literature,"$46,400","$78,900",44%
Urban Studies,"$51,500","$78,900",57%
Mass Communication,"$44,800","$78,800",44%
Forestry Management,"$48,600","$78,700",71%
Radio/Television & Film Production,"$45,700","$78,700",39%
Hospital Management,"$53,200","$78,600",45%
Human Resources Management (HRM),"$47,900","$78,500",55%
Marine Science,"$46,100","$78,400",64%
American Sign Language Interpreting,"$43,100","$78,300",87%
English & History,"$45,700","$78,300",49%
English Language,"$44,600","$78,300",45%
Cytotechnology,"$61,900","$78,200",89%
Geosciences,"$48,700","$78,200",62%
